,barcode,category,categoryCode,cpg,name,topBrand,brandCode,brandId
798,511111918714,Baking,BAKING,5ff744ffbe37ce1e961f3274,test brand @1610040575410,False,,5ff744ffbe37ce1e961f3275
799,511111118671,Baking,BAKING,5ff74126be37ce1e961f326e,test brand @1610039590383,False,TEST BRANDCODE @1610039590383,5ff74126be37ce1e961f3270
800,511111418702,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610039590990,False,TEST BRANDCODE @1610039590990,5ff74126be37ce1e961f3273
801,511111719441,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622485,False,TEST BRANDCODE @1610495622485,5ffe3686be37ce5e01754c5e
802,511111619499,Baking,BAKING,5ffe3a85be37ce7aab2d4fd4,test brand @1610496646103,False,TEST BRANDCODE @1610496646104,5ffe3a86be37ce7aab2d4fd5
803,511111219453,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622510,False,TEST BRANDCODE @1610495622510,5ffe3686be37ce5e01754c5f
804,511111119487,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1610495623019,False,TEST BRANDCODE @1610495623019,5ffe3687be37ce5e01754c62
805,511111419464,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622536,False,TEST BRANDCODE @1610495622536,5ffe3686be37ce5e01754c60
806,511111919476,Baking,BAKING,5ffe3686be37ce5e01754c5d,test brand @1610495622560,False,TEST BRANDCODE @1610495622560,5ffe3686be37ce5e01754c61
807,511111214038,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,ONE A DAY®,False,ONE A DAY,5e5ff158ee7f2d0b35b2a18d
808,511111803003,,,5332f5ebe4b03c9a25efd0a8,Cherry Coke,True,,5332fa77e4b03c9a25efd225
809,511111705239,Magazines,,5d5d4fd16d5f3b23d1bc7905,Happy Paws,True,511111705239,5d659490a3a018514994f433
810,511111614074,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,5e5ea9cc9c50da1291a6d074,COUNTRY CROCK ORIGINAL,True,COUNTRY CROCK ORIGINAL,5e710da7ee7f2d0b35b2a191
811,511111900825,Condiments & Sauces,,5332f5f6e4b03c9a25efd0b4,Mayo by HELLMANN'S/BEST FOODS,False,HELLMANN'S/BEST FOODS,592486bee410d61fcea3d12c
812,511111615422,Baking,BAKING,5f38578fbe37ce5178517ad3,test brand @1597527951382,True,TEST BRANDCODE @1597527951382,5f38578fbe37ce5178517ad4
813,511111516798,Baking,BAKING,5f772951be37ce6b592e90d1,test brand @1601644882040,True,TEST BRANDCODE @1601644882040,5f772952be37ce6b592e90d4
